web-scraper-order,web-scraper-start-url,article_ink,article_ink-href,type_chaussure,price ,adresse
"1739066268-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-de-ville-2323559","Chaussures de ville","25 000 CFA","Chaussures Homme"
"1739066294-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-weston-en-daim-2323562","Chaussures Weston en daim","22 500 CFA","Chaussures Homme"
"1739066320-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-homme-2323704","Sandales homme","15 000 CFA","Chaussures Homme"
"1739066345-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-2323707","Sandales","15 000 CFA","Chaussures Homme"
"1739066371-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-cuir-2323712","Sandales cuir","15 000 CFA","Chaussures Homme"
"1739066397-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-crochet-cuir-2323714","Chaussures crochet cuir","15 000 CFA","Chaussures Homme"
"1739066422-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-2323718","Sandales","15 000 CFA","Chaussures Homme"
"1739066448-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-2323942","Chaussures homme","6 000 CFA","Chaussures Homme"
"1739066474-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-gucci-2323951","Sandales Gucci","7 000 CFA","Chaussures Homme"
"1739066499-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/mocassins-cuir-2323954","Mocassins cuir","15 000 CFA","Chaussures Homme"
"1739066526-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/wallabies-2323957","Wallabies","23 000 CFA","Chaussures Homme"
"1739066552-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-2323959","Baskets Nike","18 000 CFA","Chaussures Homme"
"1739066578-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324457","Chaussures Sebago","11 000 CFA","Chaussures Homme"
"1739066604-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324459","Chaussures Sebago","6 500 CFA","Chaussures Homme"
"1739066630-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324460","Chaussures Sebago","6 500 CFA","Chaussures Homme"
"1739066656-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324461","Chaussures Sebago","6 500 CFA","Chaussures Homme"
"1739066682-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324463","Chaussures Sebago","11 000 CFA","Chaussures Homme"
"1739066708-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324465","Chaussures Sebago","11 000 CFA","Chaussures Homme"
"1739066734-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324468","Chaussures Sebago","10 000 CFA","Chaussures Homme"
"1739066760-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324471","Chaussures Sebago","10 000 CFA","Chaussures Homme"
"1739066787-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324472","Chaussures Sebago","10 000 CFA","Chaussures Homme"
"1739066813-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324474","Chaussures Sebago","10 000 CFA","Chaussures Homme"
"1739066839-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324475","Chaussures Sebago","10 000 CFA","Chaussures Homme"
"1739066865-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324479","Chaussures Sebago","10 000 CFA","Chaussures Homme"
"1739066891-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324481","Chaussures Sebago","10 000 CFA","Chaussures Homme"
