web-scraper-order,web-scraper-start-url,article_link,article_link-href,type habit,prix,adresse,image_link
"1739066247-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-723992","Vêtements Enfants","25 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/723992_uploaded_image2_1562586931.16.png""); width: 604px;"
"1739066273-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-724000","Vêtements Enfants","25 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724000_uploaded_image2_1562587045.77.png""); width: 604px;"
"1739066299-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-724043","Vêtements Enfants","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_724043_uploaded_image1_1562587503.48.png""); width: 604px;"
"1739066325-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724047","Vêtements Enfants","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_724047_uploaded_image1_1562587553.26.png""); width: 604px;"
"1739066351-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724052","Vêtements Enfants","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_724052_uploaded_image1_1562587604.4.png""); width: 604px;"
"1739066377-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724054","Vêtements Enfants","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_724054_uploaded_image1_1562587650.41.png""); width: 604px;"
"1739066403-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724057","Vêtements Enfants","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_724057_uploaded_image1_1562587700.41.png""); width: 604px;"
"1739066429-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724060","Vêtements Enfants","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724060_uploaded_image2_1562587746.67.png""); width: 604px;"
"1739066455-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724072","Vêtements Enfants","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724072_uploaded_image2_1562587876.78.png""); width: 604px;"
"1739066481-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724081","Vêtements Enfants","10 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/724081_uploaded_image2_1562588040.19.png""); width: 604px;"
